"","price"
"2005-10-14",14.77
"2005-11-11",11.89
"2005-12-16",11.02
"2006-01-13",11.32
"2006-02-10",12.37
"2006-03-17",11.66
"2006-04-14",12.57
"2006-05-12",13.12
"2006-06-16",16.65
"2006-07-14",17.27
"2006-08-11",14.73
"2006-09-15",12.09
"2006-10-13",11.18
"2006-11-10",10.99
"2006-12-15",10.44
"2007-01-12",10.66
"2007-02-09",11.23
"2007-03-16",15.99
"2007-04-13",12.39
"2007-05-11",12.77
"2007-06-15",13.64
"2007-07-13",15.45
"2007-08-17",30.07
"2007-09-14",24.8
"2007-10-12",17.95
"2007-11-16",26.04
"2007-12-14",22.64
"2008-01-11",24.96
"2008-02-14",26.28
"2008-03-14",29.03
"2008-04-11",23.91
"2008-05-16",17.15
"2008-06-13",21.62
"2008-07-11",27.15
"2008-08-15",20.18
"2008-09-12",24.68
"2008-10-17",63.25
"2008-11-14",62.9
"2008-12-12",54.58
"2009-01-16",49.65
"2009-02-13",43.6
"2009-03-13",42.1
"2009-04-10",38.3
"2009-05-15",33.15
"2009-06-12",28.35
"2009-07-17",25.6
"2009-08-14",25.2
"2009-09-11",24.75
"2009-10-16",22.35
"2009-11-13",24.25
"2009-12-11",22.1
"2010-01-15",19.65
"2010-02-12",24.45
"2010-03-12",18.35
"2010-04-16",18.2
"2010-05-14",30.1
"2010-06-11",29.3
"2010-07-16",28.1
"2010-08-13",26.75
"2010-09-10",23.05
"2010-10-15",20.95
"2010-11-12",20.35
"2010-12-17",17.6
"2011-01-14",16.25
"2011-02-11",16.6
